	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
Gene38	6.22491157001951	5.24436097439264	4.16247112662575	3.3970447801692	3.05821998763763	3.16950758401847	3.84507451576006	4.82926753019658	5.83428550867313	6.58588033811223	6.99353279733581	6.88013472328236
Gene39	6.73864884731026	6.02306835481211	5.00160141085449	4.00446315468257	3.22033799808222	3.0286402311764	3.22508647617488	3.96846063455468	4.9461347227975	6.02663756281451	6.63033882245182	6.99800591375106
Gene40	5.11096240064794	4.05639627351205	3.31453682293126	2.96237261178468	3.20478145806106	3.91138106810677	4.94597394896718	5.98454471334886	6.76323862355236	6.97992096682425	6.6958003016438	6.10436556570106
Gene41	4.56095508485373	3.63447875879572	3.11215804654905	3.0839537330352	3.56811564710024	4.48064876333244	5.46714440774525	6.30678592243831	6.90214089371559	6.88690248313826	6.50692045174029	5.58648217149132
Gene42	3.42317984364095	3.05425459275051	3.11142953787907	3.71435406319801	4.66626922966692	5.61497575016746	6.51726038804205	6.96049768674023	6.83431190163344	6.33464972712915	5.2783484092003	4.27307837532329
Gene43	6.98564106844497	6.74220919987912	6.03261813620431	5.03090000228264	4.06086777478332	3.30946749127731	3.00442943329153	3.2690313895049	3.93988586262464	4.94464952565713	5.97148466362464	6.66285043229827
Gene44	6.61476417526448	6.99589823472264	6.84361915209375	6.23406672709522	5.20367662455459	4.2076153403791	3.40423148784788	3.04479875603644	3.17515465174639	3.73608617550727	4.78469751712349	5.78349421725684
Gene45	3.19545223615418	3.73603843922294	4.72628110149757	5.78350677439284	6.60551635931629	6.98255006027103	6.88631696525986	6.26119775281176	5.25526562744665	4.24181237271	3.44734781157521	3.03556447731153
Gene46	4.30888574570164	5.30288975526144	6.30117241730645	6.86870021500394	6.98621034815914	6.58540930317362	5.66877523972858	4.66655755196261	3.70593990372448	3.08926491629315	2.99716166593644	3.47465275602431
Gene47	6.69286607819989	5.8951183974218	4.91486896202781	3.93479861248959	3.24576454521367	3.03020558470414	3.33824736354329	4.08423433150015	5.12534921007325	6.06066242522368	6.79535672933094	6.90812670438171
Gene48	6.16909475505614	5.21937184884721	4.18260733137663	3.40024450488153	3.0550659801136	3.15642529129588	3.77889368443544	4.7094857602518	5.78753000084397	6.57531900343051	7.04810295303623	6.93367838763037
Gene49	5.91304779188263	6.66131547809796	7.02694694054476	6.73273256153108	5.95067140426553	4.97466865757843	4.04123703158144	3.27893434411123	3.06679195860234	3.24425759122024	3.9888093069363	4.95494217094206
Gene50	6.72569761454834	5.97979680020461	5.06043613157964	4.00338701427853	3.26214065423539	2.99931710608313	3.24394557732235	3.95374371912855	4.93558103555694	5.99333226859554	6.72905642227699	7.0803497718731
Gene51	5.17113996684841	4.20185584509694	3.32482029755665	3.03720748125498	3.1516862714349	3.87875516315971	4.7920314116829	5.81212505832896	6.63057579732039	6.9904878822494	6.85320907299754	6.18413608482147
Gene52	4.18455734267393	3.43791243129691	3.002982843709	3.20429229308679	3.79345601307461	4.82801164665481	5.75523315998112	6.61468644406074	6.93815132196096	6.78928116163441	6.19222722987262	5.20173424885576
Gene53	6.97594550289083	6.63131981649411	5.91138734717986	4.78888997431858	3.92365833162702	3.20349647102394	3.02575132235146	3.332366242123	4.1535127420887	5.07808037497976	6.08883699864191	6.80332657188351
Gene54	6.15158353435387	5.18092120422435	4.20587517840309	3.4055547059767	3.01685944539676	3.1978280231599	3.7820031793215	4.7524168641742	5.74240875031801	6.54112772260953	7.00652959319424	6.70391340452228
Gene55	6.98487735693049	6.35733181490282	5.41772698592968	4.40130504712438	3.46323891529056	3.0203027005857	3.06579010684536	3.64980604544704	4.53989642592194	5.6324526427082	6.49278577638708	6.97746773455158
Gene56	3.17586251159408	3.00552556534875	3.33351361429653	4.11203133857945	5.12856323666021	6.12114508841973	6.85066076282888	6.98679992954595	6.72579634856906	5.91906194169328	4.91496106497785	3.94455275827561
Gene57	5.76986875409391	6.57544718726717	7.05244674362712	6.82465394821012	6.21182452017558	5.24492104135665	4.24654040582018	3.42441776404802	3.02085236065373	3.19783228392616	3.72290546807668	4.72200054931206
Gene58	3.43390603972085	4.25484732769769	5.35652015572839	6.30020907056293	6.88879143375982	6.95980389294214	6.48472793645029	5.66916764120423	4.67205239919167	3.68538964853082	3.15456238241846	3.07274327186904
Gene59	5.14576922329985	6.15031797267786	6.83154990439363	7.05377714115445	6.64846914551562	5.899074722427	4.83326279570108	3.88965879260157	3.18221191504293	3.01844800087183	3.33249957230337	4.12354693208415
Gene60	3.59161054390687	4.4999695701858	5.58660142339553	6.46225115071335	6.93961902107449	6.97173487035611	6.39140436620922	5.36665524028521	4.4623528144608	3.49616729703464	3.01320315975387	3.07690991876104
Gene61	3.42544168677474	4.29608038939761	5.28541099354701	6.17170157024601	6.80937748693734	6.94390257351118	6.54605687551845	5.76639353026363	4.68121307562957	3.7679474298773	3.15663075121522	3.0502909179455
Gene62	2.9635194911904	3.23211526530229	3.88542284335443	4.8048773962331	5.79296284298464	6.60479237510337	7.02610292707655	6.83609375149841	6.14520226678113	5.19276621688976	4.12878371948848	3.43564721390625
Gene63	5.44561667250426	6.34474601916448	6.892517310647	6.94413546343567	6.47563595344958	5.61981845400678	4.59738933546749	3.65283095071698	3.11310495983769	3.04437045431459	3.57868377896015	4.36643222494812
Gene64	6.54485106400897	7.00948301504515	6.86724460070264	6.25950534260161	5.29315771055986	4.22743550325568	3.43125167975643	3.03257990840746	3.1348357080833	3.8010866885278	4.68951725518964	5.76214528792863
Gene65	3.75376689579781	4.77146631758949	5.68272800529056	6.5714247322348	6.97991172792893	6.86791782773544	6.24018690237906	5.33338440943248	4.25717679166208	3.3973248716776	3.00693995760969	3.169738820315
Gene66	6.96002604756155	6.86469085506968	6.3781493061486	5.4064191664995	4.41153519556635	3.53046966188799	3.10125440361081	3.06956188508003	3.59399909803307	4.52434700685848	5.60038585382187	6.40300116856487
Gene67	5.4365660842684	4.35033902579667	3.50122895537497	3.04913839150764	3.0767743030274	3.70502976679997	4.61249619228504	5.64568981874585	6.46910388021172	6.94680216563299	6.85891936898217	6.30909000755059
Gene68	6.69465750723831	6.00222418967006	5.00617325707581	3.93917886098703	3.28191514170782	2.98746557009531	3.27272533876529	4.03133062907542	5.05421161769076	5.98504067061753	6.74299197585652	7.04002133697761
Gene69	6.94171378397607	6.92213588935578	6.32120018245116	5.34917419050885	4.3866116304154	3.45022702273131	3.07605865468891	3.08068375670352	3.67211004645643	4.61385405765919	5.55840041595186	6.51403001684491
Gene70	5.28484181856554	4.13810639011667	3.42127979733812	3.03169775605615	3.22298614216829	3.81120250646095	4.7962893986732	5.85405311639614	6.5686796660852	6.99876735592169	6.79645865543918	6.17884636886927
Gene71	4.6255706293133	5.6768332392879	6.55069344868703	6.99599321240429	6.86048923723376	6.32825982681526	5.31873882381157	4.31830071961421	3.46774907750647	3.01331400953751	3.18827300685175	3.77730342462503
Gene72	4.93562777533201	5.89197485556358	6.63293990055062	6.96989453601053	6.84850752576852	6.07866539532683	5.13776750007348	4.11998394069132	3.28433965680915	3.00784496632292	3.21250373454218	3.91327869743089
Gene73	6.87451393570671	6.33406171755183	5.31299790097358	4.3786246321084	3.4511795963059	3.01644740340425	3.11783470958415	3.6678045563913	4.59580655668457	5.65747653181729	6.53918085366593	6.95933487881104
Gene74	6.23376505164678	5.27183982645159	4.23717352391716	3.45675297177563	3.02340329200649	3.17205002873604	3.76877169658394	4.75251047995124	5.73384341284377	6.56074976364441	7.0090489951684	6.79311462377822
Gene75	6.44052613730405	6.98065509190044	6.91126397191109	6.35975514484836	5.42828307265871	4.43194092143712	3.46910551270335	3.11020635101669	3.09380336445979	3.62368034505771	4.58538592921219	5.59199797570048
Gene76	3.39366225043655	2.97157792195697	3.17217718121939	3.93048194035922	4.84045506370225	5.89778262152412	6.66679152233641	7.07273880671659	6.73997373416061	6.06714781067903	5.09949449085097	4.12343883242522
Gene77	5.76864410164601	4.77620611538193	3.79366130864068	3.17933257122873	3.04616212075795	3.49323465398413	4.250234700761	5.23374171142648	6.22502125579092	6.92302770073081	7.03112924851826	6.53956585827901
Gene78	4.20786939157465	3.3821644387601	2.95543160762817	3.22229651406672	3.82232749167551	4.81723634191874	5.79492893959445	6.61584036346184	6.98686936435801	6.80588275276155	6.15722416348	5.18522413357472
Gene79	3.1230344731672	3.70286044074126	4.6432623642682	5.6622949054277	6.5271903976186	6.98678682019215	6.8600173458823	6.28340706031335	5.41408097928775	4.34160694275287	3.52972954095006	2.98812241517841
Gene80	3.37001891094821	4.18499463803683	5.2642759438388	6.18224111273758	6.85696605362768	6.9773062998386	6.61455406228167	5.73219364975001	4.75409594447692	3.76428480044429	3.12966812542647	3.0448944448001
Gene81	6.02320494170592	5.02913515988024	4.0538685321472	3.30672250308929	3.02126031332389	3.18679228165622	3.97019677087803	4.89313222381118	5.9323218145908	6.64756037945025	6.97664189293541	6.80698518587375
Gene82	4.56966843833682	5.57307062141331	6.39373753222127	6.93784489823973	6.94951472523283	6.40334752404564	5.50571575458199	4.45831556878917	3.58274337782622	3.06720575179947	3.03150315665515	3.55353953348071
Gene83	4.47756264885544	3.6284187309441	3.03478134215739	3.07549609799266	3.51348874713963	4.48581654415013	5.46627543732242	6.4083100531073	6.99644156623611	6.91847884928495	6.44747698774403	5.54532559140848
Gene84	6.96598392113943	6.8821070876525	6.23739048835063	5.21289907320358	4.17714663717467	3.41667289932903	3.05482567458559	3.15488304501373	3.81458800770639	4.72525155106168	5.80584529201626	6.59969562435998
Gene85	5.69723467389105	6.56436709982605	6.93618390073799	6.89897361173994	6.27056245930407	5.317578619167	4.24416883004327	3.4980384280535	3.01995296796948	3.16167931994555	3.71304560158819	4.73987655898022
Gene86	5.86824113868465	4.83634570694359	3.82277544789091	3.22141888518672	2.98442101268557	3.2905494438477	4.04784654822552	5.07506837475491	6.02765161940624	6.77997764166294	6.93348461529234	6.71056353102608
Gene87	4.68237007332809	3.78548686780598	3.13557549926414	3.04385780785636	3.42679185146637	4.28429562440498	5.30592590419394	6.21803548861194	6.84029410419397	6.97422535514347	6.62188080678117	5.71131093447842
Gene88	6.49025544586884	7.00143552914181	6.84422853380759	6.28210917085724	5.28276129209995	4.29366919841643	3.45733661580376	3.03277593087679	3.16046881222421	3.71813886126059	4.75132873131958	5.77697193156745
Gene89	3.73013013225508	4.66791574582504	5.74706719346039	6.56145325410725	6.92686241709244	6.85089962079229	6.30488500591586	5.34429491524828	4.37255543309602	3.47686524516571	2.95461539452036	3.1967447793638
Gene90	6.96896016384018	6.7633649983024	6.02982156822886	5.08257876099203	4.05028319584811	3.32043234944303	3.06614770441099	3.26257442466042	3.92017039068939	4.91452358341888	6.0259592224425	6.70831491260641
Gene91	5.29800523939742	6.2214478420235	6.85549052486025	6.95845363193511	6.54634133486315	5.71031798499538	4.72128076832038	3.78524487369778	3.1402814776832	3.07634698448975	3.38841215473567	4.26966253879982
Gene92	6.31079473220127	6.81772522133091	6.98475608961064	6.49504011386985	5.72859799214263	4.69574828265545	3.73348806473244	3.07826103711669	3.04774232928767	3.43283950165555	4.26914108377987	5.29848145646605
Gene93	6.95581164908988	6.92961145826616	6.38119074487257	5.4908227286131	4.48473721565667	3.62488560325669	3.05724976364037	3.00845560747596	3.59998098292262	4.42416252550351	5.48987538682336	6.38985659931492
Gene94	6.97947131351094	6.60806310563578	5.78574844769243	4.75517329911076	3.75340435481512	3.13433933203653	3.01370570668801	3.39682794945385	4.19760985301857	5.23850615551861	6.19777630804959	6.84057866937295
Gene95	5.25832668794298	6.20607523920403	6.87577785379758	6.9320549587957	6.57812992009165	5.78402699012468	4.66867095624104	3.7965260242478	3.18670754983926	3.06040503096369	3.4260857025099	4.30455935259994
Gene96	4.78128403990077	3.81393027682223	3.18437635697674	3.02740597888175	3.41876297769061	4.17202527303803	5.19611657715728	6.15729089291705	6.84627854974356	6.97143683734335	6.6378685921498	5.80603112352705
Gene97	3.0745007876369	3.10432972826955	3.65951189328334	4.65015684490541	5.60173540005214	6.54434848915749	6.98454588715054	6.91092645621081	6.29316838864313	5.41593925353452	4.43829592103153	3.49681100146744
Gene98	6.75907278210934	7.02184252834184	6.75526146120083	5.95901036562326	4.97359196672364	3.98272975346483	3.26152748036442	2.90971268418903	3.22764925056693	4.03481357624916	4.95057740376532	6.03745500800535
Gene99	5.63796423611621	4.62382911361928	3.69911169220463	3.0952914160953	3.0466925896887	3.45902786292804	4.31377883000295	5.35455475131464	6.26765288701794	6.89904953752055	6.96708475552016	6.52854454654044
Gene100	3.58543838669076	3.05890754902709	2.98200136488294	3.61722113522787	4.53417981180545	5.62797454938809	6.46906722874275	6.9350162488411	6.93399920842424	6.43576621331295	5.46624050031051	4.45832800094965
Gene101	6.5749716566578	6.98085468937009	6.87242651394696	6.21662743292065	5.34534210662927	4.25647986317487	3.39882849081575	3.04991040964627	3.12883160959186	3.70703788939436	4.69278442678448	5.77139399358449
Gene102	2.97762296488229	3.11261332737993	3.77499414936884	4.67951221766432	5.67960352972458	6.59107440835496	6.97720213706051	6.89264261784439	6.31610455394144	5.33629467614767	4.30751616410581	3.47399354764397
Gene103	6.34333683986732	6.89499401807407	6.91961512796255	6.4727004457859	5.60180296042761	4.59301277708127	3.74450269426499	3.15652293061989	3.08952847584848	3.52166340774346	4.35329590846372	5.4155583556961
Gene104	3.96021686735751	4.93704310356095	5.92796681141137	6.70307546382158	7.10933864320836	6.73849760310652	6.06054601592203	4.97796491071664	3.99843882311358	3.28002069046213	2.99774391787553	3.23272877061273
Gene105	5.52838982274152	4.47589100419596	3.53127743659281	3.09813487688118	3.06946748522744	3.61131542207112	4.47547690161777	5.54711098238485	6.42280130249476	6.96508826020515	6.86312421657978	6.41493252770381
Gene106	3.23836054607933	2.99730120820277	3.28074043427284	4.11062548359125	5.07023199279159	6.07084175980531	6.79585644514684	6.9965279794185	6.72196684687421	5.95407429592858	4.90523686147031	3.95746713116791
Gene107	2.99753925514814	3.20747210216749	4.01040039367922	4.95487885957255	5.95996575488471	6.69247571081355	7.00534689636679	6.75357825884111	6.00383266013063	4.97473843497345	4.0463866758714	3.26513966621697
Gene108	4.65833020293747	5.64131588178926	6.5794354107442	7.00119921772377	6.90410056955415	6.25706943702337	5.29787555360175	4.28317741286684	3.50279476849453	3.01330100615166	3.1394431674482	3.73260216614331
Gene109	6.83994539072493	6.15810245788855	5.16608004375689	4.13619313667425	3.3531176146074	3.06198005649409	3.22537826142253	3.88833019866813	4.78246735479631	5.85702720037829	6.6246260118688	6.99021699551507
Gene110	4.44041297679177	3.52536776454142	3.10012031881496	3.05268534376973	3.63697366862251	4.60944761769192	5.66577936894122	6.41504290566149	6.95278721217427	6.90757567282174	6.32257819258778	5.41167975382993
Gene111	3.2919136240897	4.01592478170387	5.1103085569388	6.00304748566123	6.75216096389452	7.00951751362734	6.68321300077781	5.95662432055642	4.9413797953903	4.02162372500908	3.27831469120372	2.95675843502908
Gene112	3.07927180255918	3.08316492212348	3.68126671327474	4.64638567313411	5.64439396448322	6.42331131932011	6.92863327111143	6.93288064781337	6.30899534368071	5.39898054446768	4.40955938486836	3.51599946997683
Gene113	2.95961023823346	3.20333580820483	3.83756778855329	4.8320590395623	5.84085876519886	6.69635322965375	7.00425394905356	6.81621826336233	6.15729720082686	5.17647076312067	4.14448554669087	3.37035784765623
Gene114	6.40943872208027	6.87922353256583	6.91120520722174	6.51224990044169	5.57703206186662	4.60231452394758	3.68101182864009	3.18187991945286	3.06273830846449	3.49542363147759	4.4080912344381	5.41928196485225
Gene115	6.92042734052818	6.88577526466774	6.44240093117173	5.45792003975355	4.44683814298415	3.54993228282017	3.13886695842675	3.09010764993179	3.60035329080444	4.51623095393898	5.50595632928191	6.44852916257729
Gene116	3.11728711888285	3.02725846162423	3.48485394762755	4.34367445531826	5.31587036933944	6.28307379018736	6.88929762561725	6.93090572181084	6.59362563964304	5.62723607836543	4.66356409397958	3.68063687943397
Gene117	3.99691132660588	4.96692111574702	5.94702642286674	6.68110256053606	6.98976761841513	6.77062470007909	5.99185833978435	4.9060754163862	4.06003255847266	3.26585995971886	3.00150779085657	3.2681642442814
Gene118	3.29583150691236	3.01165826706499	3.30551047973575	4.09484883949777	5.12319060250446	6.00607538336903	6.77182421412002	6.99491661245774	6.65713216775892	5.94533001134271	4.95277371757542	4.01881346483666
Gene119	4.33579613898485	3.47548120509328	3.00033392713778	3.12248779601202	3.72663754560554	4.62498218734141	5.59188791185125	6.5158205269959	6.93971088561075	6.89347965452335	6.32688376369159	5.36058202942506
Gene120	4.11446310545577	5.16285202095076	6.13840274093535	6.80718002449313	6.99123400952049	6.61455480754091	5.86022384728977	4.86673400225509	3.8539499609925	3.14870102543208	3.00743095559712	3.35675451894075
Gene121	3.59158402576873	4.56394202422476	5.50226659915843	6.42520857988982	6.94568995643955	6.92434985557577	6.38843840346122	5.47440773646129	4.45392181527825	3.56501971392435	3.00978878114339	3.07322732021858
Gene122	3.42940840202511	3.05764113391314	3.1233036225525	3.7968201960699	4.74800315996726	5.75520210931369	6.58183156153951	7.06830095444899	6.78965429543483	6.21026356564224	5.27688378141152	4.24416149235644
Gene123	6.17132823810646	5.19259663396669	4.20278576874917	3.3729067077504	3.05486747920551	3.17991542312309	3.80700722767613	4.71012695819539	5.78522876881104	6.58613567866692	7.02307187593008	6.84527900718728
Gene124	3.13523605592153	3.03529948746951	3.39816409510319	4.12937873018695	5.21621675740497	6.17620194886804	6.87104023168968	6.94372729536041	6.64285912281071	5.77029523031916	4.83118551827141	3.87321745255523
Gene125	6.57163872202137	5.78519322766092	4.7889707967599	3.76658845422729	3.20231459217005	3.02848721528448	3.39388250043526	4.21961607408866	5.21322450538111	6.20330187828715	6.87513185900535	6.95592357268046
Gene126	6.0696565472027	6.76722691804208	7.06992560210351	6.76940089787508	5.89101692810531	4.97617014251528	3.96809764636047	3.28771485770948	2.93426065489704	3.33671476805777	4.00907688407751	5.04328888155538
Gene127	4.03588089256823	5.02494607473994	6.01161701206278	6.8041569381079	7.01560576552121	6.71014003131042	6.0022338480822	5.00757387013721	4.0210180608478	3.19566685459565	3.01554957429637	3.22476879077248
Gene128	6.51247774362295	5.65094750395814	4.58530956024474	3.70796465107263	3.08803617920568	3.04080232010603	3.50903879010628	4.40858545912764	5.39982307900834	6.31247144531355	6.8956126399766	6.98058291120079
Gene129	3.09206413954458	3.04527862733785	3.54291321448887	4.4685160185718	5.40595466559433	6.37552270331918	6.91572507368503	6.91915435691137	6.42632641312167	5.56243379125387	4.56071625275323	3.57890733323466
Gene130	4.6935464021364	5.72067202324052	6.52157638064974	6.96915359371897	6.85640292589262	6.26718372623374	5.26928096333604	4.29955384384889	3.44211866299797	3.02004161599829	3.21249036621204	3.69980378213783
Gene131	3.87853124101523	4.94240370077065	5.92572359782803	6.71719462478195	7.03219076164502	6.80183464060975	6.01924409801815	5.02868192736883	4.05675139498931	3.28492181607751	3.00016033441633	3.22247652538735
Gene132	4.19043875207088	3.42258108000483	2.97171562087799	3.19415457700065	3.82090596211991	4.78175121882315	5.80323736940477	6.63469208455918	6.99596571164385	6.79627539223342	6.21071060745433	5.19619220314218
Gene133	5.23790641085262	6.16139697109006	6.80853214216007	6.93383266763625	6.64621116184617	5.83039884994514	4.76567752549	3.84576129223219	3.20923047035267	3.03764033234619	3.36969567171918	4.16546790167375
Gene134	3.08087767396598	3.11395032956018	3.54701268059365	4.37859768791387	5.42590143175127	6.35552754229608	6.90072215418176	6.98373776327915	6.47846035244693	5.59278674863243	4.56163448441806	3.61244713815286
Gene135	6.70207189603983	6.0050383794109	5.05457850794309	4.00883690812922	3.28543370967256	2.96430643022731	3.29035755865804	4.00932460224975	5.01073459741277	6.04486285377402	6.74714872703641	6.96284701337084
Gene136	4.46688045908207	3.62525034572449	3.04320488404841	3.09671169706133	3.56643918732496	4.53032221669044	5.5055706497226	6.44752048014529	6.91173014074802	6.89519353326909	6.44629100550863	5.52422727605299
Gene137	3.37761431751991	3.06055950748438	3.16676658922077	3.80945203525368	4.78767700942623	5.78658302190159	6.59238262010406	7.02289629362359	6.85979716148866	6.16983932179119	5.23207662493368	4.1469119515797
